# # polarizability field in atomic units, damped with signal_damped = signal * exp(-t/tau) where tau = 200

Timestamps (au),X Values,Y Values,Z Values
17.0,5.2785777398341146e-05,1.656392734527466e-16,1.207300429267718e-07
17.1,7.807210233126748e-05,1.8602339408555943e-16,1.1976276451465362e-07
17.2,0.00010191390224510407,1.7669837091407232e-16,1.1829580677750778e-07
17.3,0.0001243354687717087,1.8113257505219173e-16,1.1636763420016434e-07
17.4,0.0001476282234794827,2.0801345902349198e-16,1.1413163050395239e-07
17.5,0.0001698483101988229,2.0859028389641187e-16,1.1152528354935211e-07
17.6,0.0001897382129799397,2.032275157928478e-16,1.0852650269633432e-07
17.7,0.000209804084300835,2.2830933692830316e-16,1.0530216700301193e-07
17.8,0.0002292620297767274,2.4158801787447627e-16,1.0186731093313593e-07
17.9,0.0002458666836219148,2.318655639682777e-16,9.81622321013428e-08
18.0,0.0002616886002323916,2.4790746970924404e-16,9.43248652114957e-08
18.1,0.0002772742900946933,2.7157470419771784e-16,9.044050645244379e-08
18.2,0.0002899340260521711,2.6487045769902045e-16,8.644350337290169e-08
18.3,0.0003007670886356343,2.6852720233421053e-16,8.241632164162529e-08
18.4,0.00031149189751756065,2.9601004450426974e-16,7.848774218787752e-08
18.5,0.00031963176938510377,2.9845472342934307e-16,7.461382795149212e-08
18.6,0.00032502820211507743,2.915264499972374e-16,7.081522015574561e-08
18.7,0.00033012559456363727,3.1454573183480525e-16,6.722901988174059e-08
18.8,0.00033326779247101,3.282233269707762e-16,6.38479638492321e-08
18.9,0.00033307282610826454,3.167055939967737e-16,6.064116192608777e-08
19.0,0.0003320907593002396,3.2864980849845603e-16,5.772213921709173e-08
19.1,0.0003298924662942987,3.506978874382658e-16,5.5120657781844856e-08
19.2,0.0003242186763597988,3.421582203379759e-16,5.277327070325369e-08
19.3,0.00031708649281455366,3.406489020486165e-16,5.074877274145868e-08
19.4,0.00030939871420247527,3.642364394937643e-16,4.910380592145782e-08
19.5,0.00029858962216592336,3.6446122533044327e-16,4.7762295125609705e-08
19.6,0.00028564632789298796,3.522089770080549e-16,4.673943433849504e-08
19.7,0.0002725816327458874,3.6932290992556685e-16,4.610445109900577e-08
19.8,0.00025717553486164705,3.798456529888198e-16,4.5785522324652314e-08
19.9,0.00023915342902991726,3.634449053833815e-16,4.57449461888063e-08
20.0,0.00022114561315897234,3.681862748170998e-16,4.6050606405719994e-08
20.1,0.00020184766844393243,3.8562011211433164e-16,4.66486772408477e-08
20.2,0.00017981353565298304,3.7280510642547775e-16,4.745560682030213e-08
20.3,0.00015765127673915646,3.6389615966807204e-16,4.8525176306881045e-08
20.4,0.00013531673157873405,3.813329681948664e-16,4.9833361191303377e-08
20.5,0.00011058030825202533,3.77563035722391e-16,5.1263217406627404e-08
20.6,8.540032350323181e-05,3.58647756314304e-16,5.2841484997354884e-08
20.7,6.102585193607058e-05,3.6851657864312423e-16,5.4582849432945044e-08
20.8,3.503035881182027e-05,3.7488221200268555e-16,5.635624057857752e-08
20.9,8.262731843847991e-06,3.532496233244991e-16,5.8148136473521364e-08
21.0,-1.702207226543358e-05,3.5059562189068804e-16,6.001375906634532e-08
21.1,-4.281090915991277e-05,3.6337535895035952e-16,6.183468689887714e-08
21.2,-6.95432530534633e-05,3.468547679348854e-16,6.354744240039505e-08
21.3,-9.449470681509664e-05,3.3145479884376254e-16,6.523732177175288e-08
