diameter_nm	wavelength_nm	qabs	cabs_nm2
35.0	536.5	1.69621948e-01	1.63195438e+02
35.0	537.0	1.68191045e-01	1.61818748e+02
35.0	537.5	1.66777939e-01	1.60459181e+02
35.0	538.0	1.65382339e-01	1.59116457e+02
35.0	538.5	1.64003962e-01	1.57790303e+02
35.0	539.0	1.62642526e-01	1.56480448e+02
35.0	539.5	1.61297760e-01	1.55186632e+02
35.0	540.0	1.59969395e-01	1.53908595e+02
35.0	540.5	1.58657169e-01	1.52646085e+02
35.0	541.0	1.57360822e-01	1.51398854e+02
35.0	541.5	1.56080105e-01	1.50166659e+02
35.0	542.0	1.54814767e-01	1.48949262e+02
35.0	542.5	1.53564568e-01	1.47746429e+02
35.0	543.0	1.52329269e-01	1.46557932e+02
35.0	543.5	1.51108636e-01	1.45383546e+02
35.0	544.0	1.49902441e-01	1.44223050e+02
35.0	544.5	1.48710460e-01	1.43076230e+02
35.0	545.0	1.47532472e-01	1.41942872e+02
35.0	545.5	1.46368260e-01	1.40822770e+02
35.0	546.0	1.45217615e-01	1.39715719e+02
35.0	546.5	1.44080327e-01	1.38621519e+02
35.0	547.0	1.42956192e-01	1.37539975e+02
35.0	547.5	1.41845012e-01	1.36470894e+02
35.0	548.0	1.40746588e-01	1.35414087e+02
35.0	548.5	1.39660730e-01	1.34369369e+02
35.0	549.0	1.38587247e-01	1.33336558e+02
35.0	549.5	1.37525955e-01	1.32315475e+02
35.0	550.0	1.36476671e-01	1.31305945e+02
35.0	550.5	1.35439216e-01	1.30307797e+02
35.0	551.0	1.34413415e-01	1.29320861e+02
35.0	551.5	1.33399097e-01	1.28344972e+02
35.0	552.0	1.32396091e-01	1.27379967e+02
35.0	552.5	1.31404232e-01	1.26425687e+02
35.0	553.0	1.30423356e-01	1.25481974e+02
35.0	553.5	1.29453305e-01	1.24548675e+02
35.0	554.0	1.28493919e-01	1.23625638e+02
35.0	554.5	1.27545047e-01	1.22712715e+02
35.0	555.0	1.26606534e-01	1.21809761e+02
35.0	555.5	1.25678234e-01	1.20916631e+02
35.0	556.0	1.24759999e-01	1.20033185e+02
35.0	556.5	1.23851686e-01	1.19159286e+02
35.0	557.0	1.22953153e-01	1.18294796e+02
35.0	557.5	1.22064263e-01	1.17439583e+02
35.0	558.0	1.21184878e-01	1.16593516e+02
35.0	558.5	1.20314866e-01	1.15756466e+02
35.0	559.0	1.19454094e-01	1.14928307e+02
35.0	559.5	1.18602433e-01	1.14108913e+02
35.0	560.0	1.17759757e-01	1.13298164e+02
35.0	560.5	1.16925940e-01	1.12495938e+02
35.0	561.0	1.16100860e-01	1.11702118e+02
35.0	561.5	1.15284397e-01	1.10916588e+02
35.0	562.0	1.14476431e-01	1.10139234e+02
35.0	562.5	1.13676846e-01	1.09369943e+02
35.0	563.0	1.12885529e-01	1.08608606e+02
35.0	563.5	1.12102365e-01	1.07855115e+02
35.0	564.0	1.11327245e-01	1.07109362e+02
35.0	564.5	1.10560060e-01	1.06371243e+02
35.0	565.0	1.09800702e-01	1.05640656e+02
35.0	565.5	1.09049067e-01	1.04917498e+02
35.0	566.0	1.08305051e-01	1.04201671e+02
