# Vacuum reference incident electric field (atomic units), single polarization 'y'.
# Columns: time, xx, yy, zz — only the co-polarized diagonal is non-zero.
time,xx,yy,zz
5608.466216849,0.0,-8.994386853858315e-17,0.0
5608.566289403,0.0,-2.1060419919690454e-16,0.0
5608.666361957,0.0,-2.1217210821390223e-16,0.0
5608.766434511,0.0,-9.376057553102181e-17,0.0
5608.866507065,0.0,7.772343261179776e-17,0.0
5608.966579619,0.0,2.0538392392021134e-16,0.0
5609.066652173,0.0,2.170863820794028e-16,0.0
5609.166724727,0.0,1.0621735895730627e-16,0.0
5609.266797281,0.0,-6.45780463681413e-17,0.0
5609.366869835,0.0,-1.9879299497304475e-16,0.0
5609.466942389,0.0,-2.2058948599698376e-16,0.0
5609.567014943,0.0,-1.1765054024738518e-16,0.0
5609.667087497,0.0,5.185959758957696e-17,0.0
5609.767160051,0.0,1.9216037928636066e-16,0.0
5609.867232605,0.0,2.239751120352043e-16,0.0
5609.967305159,0.0,1.293261144673486e-16,0.0
5610.067377713,0.0,-3.8306560044801386e-17,0.0
5610.167450267,0.0,-1.842032655824672e-16,0.0
5610.267522821,0.0,-2.259254361186873e-16,0.0
5610.367595375,0.0,-1.3989729991270081e-16,0.0
5610.467667929,0.0,2.527225617536887e-17,0.0
5610.567740483,0.0,1.7625540461560836e-16,0.0
5610.667813037,0.0,2.2773958377799904e-16,0.0
5610.767885591,0.0,1.506331081323475e-16,0.0
5610.867958145,0.0,-1.1496261225005269e-17,0.0
5610.968030699,0.0,-1.6703857876016495e-16,0.0
5611.068103253,0.0,-2.2810521778874675e-16,0.0
5611.168175807,0.0,-1.6019003378073468e-16,0.0
5611.268248361,0.0,-1.6673135072195473e-18,0.0
5611.368320915,0.0,1.5789095060992962e-16,0.0
5611.468393469,0.0,2.283270091622602e-16,0.0
5611.568466023,0.0,1.698406376188804e-16,0.0
5611.668538577,0.0,1.5478443737089102e-17,0.0
5611.768611131,0.0,-1.475384926931375e-16,0.0
5611.868683685,0.0,-2.2709818094973283e-16,0.0
5611.968756239,0.0,-1.7824519952312852e-16,0.0
5612.068828793,0.0,-2.858288609316274e-17,0.0
5612.168901347,0.0,1.3732334583302022e-16,0.0
5612.268973901,0.0,2.2572898421124284e-16,0.0
5612.369046456,0.0,1.8668031268813682e-16,0.0
5612.46911901,0.0,4.224082610027211e-17,0.0
5612.569191564,0.0,-1.2597521049999548e-16,0.0
5612.669264118,0.0,-2.229181978669535e-16,0.0
5612.769336672,0.0,-1.9381049810765936e-16,0.0
5612.869409226,0.0,-5.5098546922508865e-17,0.0
5612.96948178,0.0,1.1483971655993634e-16,0.0
5613.069554334,0.0,2.1998160966834915e-16,0.0
5613.169626888,0.0,2.0091680838320024e-16,0.0
5613.269699442,0.0,6.8417099946278e-17,0.0
5613.369771996,0.0,-1.0264977798145672e-16,0.0
5613.46984455,0.0,-2.156234722436744e-16,0.0
5613.569917104,0.0,-2.0666840217112222e-16,0.0
5613.669989658,0.0,-8.084394606600739e-17,0.0
5613.770062212,0.0,9.075397576755356e-17,0.0
5613.870134766,0.0,2.1116498934895615e-16,0.0
5613.97020732,0.0,2.1235115620637055e-16,0.0
5614.070279874,0.0,9.364164659642775e-17,0.0
5614.170352428,0.0,-7.788787788782815e-17,0.0
5614.270424982,0.0,-2.0531572852462506e-16,0.0
5614.370497536,0.0,-2.1663919844380295e-16,0.0
5614.47057009,0.0,-1.0545947485303048e-16,0.0
5614.570642644,0.0,6.540243735301928e-17,0.0
5614.670715198,0.0,1.994021131911284e-16,0.0
5614.770787752,0.0,2.208235271432458e-16,0.0
5614.870860306,0.0,1.175621251694178e-16,0.0
5614.97093286,0.0,-5.2035279408623745e-17,0.0
5615.071005414,0.0,-1.9213879260936812e-16,0.0
5615.171077968,0.0,-2.235835016598574e-16,0.0
5615.271150522,0.0,-1.286012925831088e-16,0.0
5615.371223076,0.0,3.91391168429928e-17,0.0
5615.47129563,0.0,1.8485714062878743e-16,0.0
5615.571368184,0.0,2.2621546766245445e-16,0.0
5615.671440738,0.0,1.3984439782340188e-16,0.0
5615.771513292,0.0,-2.545300657574277e-17,0.0
5615.871585846,0.0,-1.7627658388250492e-16,0.0
5615.9716584,0.0,-2.2740420477937995e-16,0.0
5616.071730954,0.0,-1.499461330317099e-16,0.0
5616.171803508,0.0,1.2330784383844536e-17,0.0
5616.271876062,0.0,1.6773310825745492e-16,0.0
5616.371948616,0.0,2.284515573004909e-16,0.0
5616.47202117,0.0,1.6017720071482316e-16,0.0
5616.572093724,0.0,1.4877068852407668e-18,0.0
5616.672166278,0.0,-1.579505465148563e-16,0.0
5616.772238832,0.0,-2.280478381504321e-16,0.0
5616.872311386,0.0,-1.691958235471457e-16,0.0
5616.97238394,0.0,-1.464816089819425e-17,0.0
5617.072456494,0.0,1.4826909378496383e-16,0.0
5617.172529048,0.0,2.275004646719065e-16,0.0
5617.272601602,0.0,1.7827649541472866e-16,0.0
5617.372674156,0.0,2.84106057161735e-17,0.0
5617.47274671,0.0,-1.374165560117078e-16,0.0
5617.572819264,0.0,-2.255053186563389e-16,0.0
5617.672891818,0.0,-1.8608145351703534e-16,0.0
5617.772964372,0.0,-4.1420923400865204e-17,0.0
5617.873036926,0.0,1.267368759804013e-16,0.0
5617.97310948,0.0,2.233753870867701e-16,0.0
5618.073182034,0.0,1.938894398167517e-16,0.0
5618.173254588,0.0,5.493967168650134e-17,0.0
5618.273327142,0.0,-1.1496134420715892e-16,0.0
5618.373399696,0.0,-2.1981207824617812e-16,0.0
5618.47347225,0.0,-2.0036713384348632e-16,0.0
5618.573544804,0.0,-6.761357729248601e-17,0.0
5618.673617358,0.0,1.0343713721990468e-16,0.0
5618.773689912,0.0,2.1613386757035628e-16,0.0
5618.873762466,0.0,2.0679792304534695e-16,0.0
5618.97383502,0.0,8.070437908468261e-17,0.0
5619.073907574,0.0,-9.089849268712876e-17,0.0
5619.173980128,0.0,-2.1104757010587992e-16,0.0
5619.274052682,0.0,-2.1185329489549684e-16,0.0
5619.374125236,0.0,-9.286029281800507e-17,0.0
5619.47419779,0.0,7.869526182282767e-17,0.0
5619.574270344,0.0,2.0587699188682214e-16,0.0
5619.674342898,0.0,2.1682161487134935e-16,0.0
5619.774415452,0.0,1.053448735416176e-16,0.0
5619.874488006,0.0,-6.556405070767627e-17,0.0
5619.97456056,0.0,-1.993341593010271e-16,0.0
5620.074633114,0.0,-2.2037947670764327e-16,0.0
