# # polarizability field in atomic units, damped with signal_damped = signal * exp(-t/tau) where tau = 200

Timestamps (au),X Values,Y Values,Z Values
27.9,6.373383990730986e-15,-1.3234545102302151e-06,5.939437000106767e-08
28.0,6.5632344011933075e-15,-1.3224522563411856e-06,6.200046812882023e-08
28.1,7.331712851820328e-15,-1.3193881129641743e-06,6.475317381914836e-08
28.2,7.71373464390084e-15,-1.3142689207201614e-06,6.764379933446818e-08
28.3,7.902625709150915e-15,-1.3071047191127746e-06,7.06726897302995e-08
28.4,8.09132600308091e-15,-1.2979087274405627e-06,7.382014772016087e-08
28.5,9.05005294077021e-15,-1.2866973212203444e-06,7.706389192980515e-08
28.6,9.430445174958048e-15,-1.273490003584908e-06,8.039621209204558e-08
28.7,1.0195178570243427e-14,-1.258309371453842e-06,8.379497664522384e-08
28.8,1.0959145066852179e-14,-1.2411810772623426e-06,8.722634532742966e-08
28.9,1.09536668639836e-14,-1.222133786131565e-06,9.067224473406323e-08
29.0,1.1524411999507152e-14,-1.201199127931755e-06,9.410951629109478e-08
29.1,1.2286561316073424e-14,-1.1784116448667465e-06,9.749722220982107e-08
29.2,1.2664182682572727e-14,-1.1538087349621636e-06,1.0080681365896626e-07
29.3,1.323320909099004e-14,-1.1274305908226346e-06,1.0401523752449115e-07
29.4,1.3801663450768719e-14,-1.0993201338933905e-06,1.0708043629389282e-07
29.5,1.4752734090072362e-14,-1.0695229449835826e-06,1.0996589875478543e-07
29.6,1.551135227158122e-14,-1.0380871906391916e-06,1.1264964741810591e-07
29.7,1.5695000985078897e-14,-1.0050635451435682e-06,1.1509482344358237e-07
29.8,1.6643689314801284e-14,-9.705051090023832e-07,1.1726189358240329e-07
29.9,1.7209002983025878e-14,-9.344673239504611e-07,1.191310365930603e-07
30.0,1.758263175746351e-14,-8.970078839352973e-07,1.206760615530451e-07
30.1,1.757384263904749e-14,-8.58186642723034e-07,1.2186097496232847e-07
30.2,1.7565057914092222e-14,-8.180655186588626e-07,1.226695912629942e-07
30.3,1.7937935788671118e-14,-7.767083959952591e-07,1.2309005880103183e-07
30.4,1.811970277607749e-14,-7.341810230009246e-07,1.230968550259195e-07
30.5,1.7729368448448013e-14,-6.905509077246206e-07,1.226794295036964e-07
30.6,1.7529962904971492e-14,-6.458872110924296e-07,1.2184165399941476e-07
30.7,1.733075228706878e-14,-6.002606370834619e-07,1.205743157868002e-07
30.8,1.7131736449689498e-14,-5.537433209056621e-07,1.1887489809476473e-07
30.9,1.7123172722574842e-14,-5.064087153240191e-07,1.16762079184409e-07
31.0,1.6353963797308858e-14,-4.583314745807527e-07,1.1424640844858808e-07
31.1,1.653585617163263e-14,-4.0958733656427877e-07,1.1133576156263232e-07
31.2,1.6527590310184382e-14,-3.602530038707396e-07,1.0806083572494198e-07
31.3,1.6139573900619226e-14,-3.104060231897409e-07,1.0445212968721276e-07
31.4,1.575194128064347e-14,-2.601246632005996e-07,1.0052959173271301e-07
31.5,1.4985317048370447e-14,-2.094877919351184e-07,9.633197365822932e-08
31.6,1.478823352519622e-14,-1.585747533361767e-07,9.190644438246174e-08
31.7,1.3833351432510228e-14,-1.0746524271906377e-07,8.728530348365608e-08
31.8,1.3068823527555579e-14,-5.623918209239329e-08,8.251097789975142e-08
31.9,1.2115747941215081e-14,-4.9765955586220325e-09,7.764106489400616e-08
32.0,1.1731263719539943e-14,4.624251579246478e-08,7.27185184772573e-08
32.1,1.0590683467987918e-14,9.733829885073644e-08,6.778530756242528e-08
32.2,9.64026539184475e-15,1.482311726090594e-07,6.290134187685967e-08
32.3,9.446516141158028e-15,1.988419520133551e-07,5.811635754418468e-08
32.4,8.49761465733467e-15,2.49091971391846e-07,5.3468367376598644e-08
32.5,7.360917990426714e-15,2.989032064784229e-07,4.9011100128299366e-08
32.6,6.036708472937777e-15,3.481983952795197e-07,4.479527505520673e-08
32.7,5.0909266742322244e-15,3.9690115812386166e-07,4.0852231697016006e-08
32.8,4.334547499428244e-15,4.449361159485895e-07,3.72221529346114e-08
32.9,3.578923242640297e-15,4.922290065755454e-07,3.3949805551874513e-08
33.0,2.8240533381393402e-15,5.387067995973542e-07,3.105784805759239e-08
33.1,2.2581133315344884e-15,5.842978092710304e-07,2.8567925142429335e-08
33.2,1.692738417814387e-15,6.289318047074154e-07,2.6511941254530106e-08
33.3,7.519521156277872e-16,6.72540117936676e-07,2.490241748201839e-08
33.4,0.0,7.150557497645026e-07,2.374056487429548e-08
33.5,-7.512005393629232e-16,7.564134724603437e-07,2.3039870608855804e-08
33.6,-1.313943807710907e-15,7.965499295220325e-07,2.2801704628237914e-08
33.7,-1.6885118571719877e-15,8.354037329149381e-07,2.3008133848246083e-08
33.8,-2.0627051038882576e-15,8.72915556900515e-07,2.3651230152632573e-08
33.9,-2.623948738894616e-15,9.090282282127495e-07,2.4720669764360527e-08
34.0,-2.9972995342446883e-15,9.436868132332092e-07,2.618333813323421e-08
34.1,-3.1830388377699198e-15,9.76838701657004e-07,2.8010225651989628e-08
34.2,-3.3685916994683837e-15,1.0084336859634342e-06,3.0179454731991686e-08
34.3,-3.5539582593236884e-15,1.0384240372836772e-06,3.2648412110417946e-08
34.4,-3.7391386572260816e-15,1.0667645776750067e-06,3.537082390726247e-08
34.5,-3.924133032972508e-15,1.0934127479116412e-06,3.8314388722684526e-08
34.6,-4.108941526266665e-15,1.118328671037392e-06,4.143325896038742e-08
34.7,-4.480240984402506e-15,1.1414752121506883e-06,4.467066201087064e-08
34.8,-4.664584816507397e-15,1.162818033650825e-06,4.798627995715918e-08
34.9,-4.2892728585090725e-15,1.1823256457101175e-06,5.133680904806191e-08
35.0,-4.100731855621334e-15,1.1999694526669784e-06,5.4663532910515925e-08
35.1,-3.5397708200814587e-15,1.215723794963592e-06,5.792192003584958e-08
